Designator,Mid X,Mid Y,Rotation,Layer
D1,118.0,-85.0,90.0,bottom
D10,153.0,-69.65,90.0,bottom
D2,137.0,-85.0,90.0,bottom
D3,156.0,-85.0,90.0,bottom
D4,118.0,-104.0,90.0,bottom
D5,137.1,-104.35,90.0,bottom
D6,156.0,-104.35,90.0,bottom
D7,118.0,-123.35,90.0,bottom
D8,137.1,-123.35,90.0,bottom
D9,156.0,-123.0,90.0,bottom
J1,101.0,-55.19,0.0,top
R1,107.9125,-57.0,0.0,bottom
R2,107.9125,-59.95,0.0,bottom
S1,108.11,-82.98,0.0,top
S2,127.38,-83.08,0.0,top
S3,146.38,-83.08,0.0,top
S4,108.38,-102.08,0.0,top
S5,127.46,-102.08,0.0,top
S6,146.38,-102.08,0.0,top
S7,108.46,-121.08,0.0,top
S8,127.46,-121.08,0.0,top
S9,146.38,-121.08,0.0,top
SW1,151.0,-56.0,270.0,top
U1,126.9825,-51.0,0.0,bottom
